gizmotronics	gizmotronics+N;SG
cruel	cruel+ADJ
microdyne	microdyne+N;SG
eigenpathway	eigenpathway+N;SG
otorhinolaryngologist	otorhinolaryngologist+N;SG
branglement	branglement+N;SG
pampa	pampa+N;SG
countable	mulch+N;PL
kacha	kacha+ADJ
hydrohetaerolite	hydrohetaerolite+N;SG
bookdealers	bookdealer+N;PL
photophonophobia	photophonophobia+N;SG
skooshes	skoosh+V;PRS;3;SG
returf	returf+V;NFIN;IMP+SBJV
homochelous	homochelous+ADJ
whaleboned	whaleboned+ADJ
vasculoprotective	vasculoprotective+ADJ
quadranucleotide	quadranucleotide+N;SG
caudalizing	caudalizing+ADJ
norie	norie+N;SG
avesicular	avesicular+ADJ
porphyropsins	porphyropsin+N;PL
slapfight	slapfight+N;SG
subjectified	subjectify+V;V.PTCP;PST
suitcases	suitcase+V;PRS;3;SG
cyberpirate	cyberpirate+N;SG
pseudoisotropic	pseudoisotropic+ADJ
disuprazole	disuprazole+N;SG
tomomania	tomomania+N;SG
nonitalic	nonitalic+ADJ
passages	passage+V;PRS;3;SG
sanguivolent	sanguivolent+ADJ
scrofulitics	scrofulitic+N;PL
genocided	genocide+V;V.PTCP;PST
scrapy	scrapy+ADJ
sulprostone	sulprostone+N;SG
unbedding	unbed+V;V.PTCP;PRS
deadcenters	deadcenter+V;PRS;3;SG
requench	requench+N;SG
æstivation	æstivation+N;SG
trivialism	trivialism+N;SG
moulage	moulage+V;NFIN;IMP+SBJV
superstation	superstation+N;SG
fact-check	fact-check+N;SG
catalysable	catalysable+ADJ
superperson	superperson+N;SG
nonbraille	nonbraille+ADJ
liquified	liquify+V;V.PTCP;PST
imitating	imitate+V;V.PTCP;PRS
neurocytotoxicity	neurocytotoxicity+N;SG
scaphoid	scaphoid+N;SG
bambocciantes	bambocciante+N;PL
tantilizing	tantilizing+ADJ
lymphadenectomy	lymphadenectomy+N;SG
hick	hick+V;NFIN;IMP+SBJV
today's	today's+ADJ
unbraved	unbraved+ADJ
offre	offre+N;SG
steganalyzed	steganalyze+V;PST
misciting	miscite+V;V.PTCP;PRS
gris-gris	gris-gris+N;SG
snoot	snoot+V;NFIN;IMP+SBJV
crêpey	crêpey+ADJ
deposer	deposer+N;SG
breadfruit	breadfruit+N;SG
ingestible	ingestible+ADJ
radium	radium+N;SG
burghmotes	burghmote+N;PL
benedicts	benedict+N;PL
autogenerates	autogenerate+V;PRS;3;SG
protagon	protagon+N;SG
televisor	televisor+N;SG
degras	degras+N;SG
unravelable	unravelable+ADJ
braaing	braai+V;V.PTCP;PRS
dodgings	dodging+N;PL
surd	surd+N;SG
yin-yang	yin-yang+N;SG
squalodelphinids	squalodelphinid+N;PL
eirenic	eirenic+ADJ
khandas	khanda+N;PL
cosmonautical	cosmonautical+ADJ
wontedness	wontedness+N;SG
philosophes	philosophe+N;PL
handknits	handknit+N;PL
inspeximuses	inspeximus+N;PL
deparasitations	deparasitation+N;PL
tahsil	tahsil+N;SG
concords	concord+V;PRS;3;SG
geoenvironment	geoenvironment+N;SG
crescendo	crescendo+N;SG
couchmate	couchmate+N;SG
addolorato	addolorato+N;SG
nondeath	nondeath+N;SG
stamfort	stamfort+N;SG
volcanologists	volcanologist+N;PL
privatives	privative+N;PL
lateener	lateener+N;SG
overbinds	overbind+V;PRS;3;SG
bloring	blore+V;V.PTCP;PRS
postfixated	postfixated+ADJ
reattacks	reattack+N;PL
speak	speak+N;SG
stilter	stilter+N;SG
clefting	cleft+V;V.PTCP;PRS
monocerin	monocerin+N;SG
subdivides	subdivide+V;PRS;3;SG
predebate	predebate+ADJ
teleforum	teleforum+N;SG
myristylating	myristylate+V;V.PTCP;PRS
concording	concord+V;V.PTCP;PRS
gomashtas	gomashta+N;PL
nullifidians	nullifidian+N;PL
zonks	zonk+N;PL
asturian	asturian+N;SG
colimit	colimit+V;NFIN;IMP+SBJV
vermiculous	vermiculous+ADJ
streptozocin	streptozocin+N;SG
genomics	genomics+N;SG
conges	conge+N;PL
osmoscope	osmoscope+N;SG
savasana	savasana+N;SG
glycosynthesis	glycosynthesis+N;SG
fedrilate	fedrilate+N;SG
nonretinotopic	nonretinotopic+ADJ
yugur	yugur+N;SG
trichology	trichology+N;SG
lorefathers	lorefather+N;PL
nonmountaineers	nonmountaineer+N;PL
scambled	scamble+V;PST
misbinds	misbind+V;PRS;3;SG
evening	even+V;V.PTCP;PRS
eupelycosaur	eupelycosaur+N;SG
greenshirts	greenshirt+N;PL
lungi	lungi+N;SG
emiratise	emiratise+V;NFIN;IMP+SBJV
asgardian	asgardian+ADJ
proteoglucans	proteoglucan+N;PL
ghettoization	ghettoization+N;SG
tugric	tugric+N;SG
fluffhead	fluffhead+N;SG
transdifferentiated	transdifferentiate+V;V.PTCP;PST
tannicity	tannicity+N;SG
afromontoside	afromontoside+N;SG
stuck-up	stuck-up+ADJ
transorbital	transorbital+N;SG
bocal	bocal+N;SG
enzymolyzes	enzymolyze+V;PRS;3;SG
prismatical	prismatical+ADJ
unhackable	unhackable+ADJ
clinicalized	clinicalize+V;V.PTCP;PST
sneakerhead	sneakerhead+N;SG
amurcous	amurcous+ADJ
encastled	encastle+V;PST
dreadlocks	dreadlock+V;PRS;3;SG
illative	illative+ADJ
similising	similise+V;V.PTCP;PRS
dweeblet	dweeblet+N;SG
flapgate	flapgate+N;SG
transiliosacral	transiliosacral+ADJ
catarrhous	catarrhous+ADJ
flutemetamol	flutemetamol+N;SG
phonologize	phonologize+V;NFIN;IMP+SBJV
reinvigoration	reinvigoration+N;SG
whortle	whortle+N;SG
hippuristanolide	hippuristanolide+N;SG
malapert	malapert+ADJ
outleaping	outleap+V;V.PTCP;PRS
canalsides	canalside+N;PL
hemidepleted	hemidepleted+ADJ
whoofing	whoof+V;V.PTCP;PRS
comessations	comessation+N;PL
microconsole	microconsole+N;SG
sideslipper	sideslipper+N;SG
agriologists	agriologist+N;PL
amphiregulin	amphiregulin+N;SG
illusts	illust+N;PL
umpan	umpan+N;SG
sialylate	sialylate+N;SG
telogonic	telogonic+ADJ
mannosamine	mannosamine+N;SG
nonassignable	nonassignable+ADJ
futzes	futz+N;PL
apoposeidion	apoposeidion+N;SG
relaxes	relax+V;PRS;3;SG
rasing	rase+V;V.PTCP;PRS
rewoven	reweave+V;V.PTCP;PST
licked	lick+V;V.PTCP;PST
haloimides	haloimide+N;PL
mycobacteremias	mycobacteremia+N;PL
isoflupredone	isoflupredone+N;SG
photodissociated	photodissociate+V;PST
epistolizers	epistolizer+N;PL
myotubulin	myotubulin+N;SG
vouches	vouch+V;PRS;3;SG
snapchatted	snapchat+V;V.PTCP;PST
fibroins	fibroin+N;PL
caddie	caddie+V;NFIN;IMP+SBJV
mustanging	mustanging+N;SG
periclot	periclot+ADJ
amenorrhœa	amenorrhœa+N;SG
circumduction	circumduction+N;SG
vanitories	vanitory+N;PL
bladesmith	bladesmith+N;SG
ceratioid	ceratioid+N;SG
juicelessness	juicelessness+N;SG
arthropodins	arthropodin+N;PL
landownings	landowning+N;PL
necropsying	necropsy+V;V.PTCP;PRS
unpersist	unpersist+V;NFIN;IMP+SBJV
crinoidal	crinoidal+ADJ
subcontractees	subcontractee+N;PL
humplocks	humplock+N;PL
flocculency	flocculency+N;SG
discussant	discussant+N;SG
microsensing	microsensing+N;SG
detheocratized	detheocratize+V;V.PTCP;PST
juxtacapsular	juxtacapsular+ADJ
selenate	selenate+V;NFIN;IMP+SBJV
stogged	stog+V;V.PTCP;PST
multiregionals	multiregional+N;PL
tun	tun+V;NFIN;IMP+SBJV
hedgehogged	hedgehog+V;PST
winterkill	winterkill+N;SG
undispensable	undispensable+ADJ
chromatomaps	chromatomap+N;PL
pæninsula	pæninsula+N;SG
recrossing	recrossing+N;SG
metallocentres	metallocentre+N;PL
megasporocarps	megasporocarp+N;PL
doughnut	doughnut+N;SG
poise	poise+V;NFIN;IMP+SBJV
periagua	periagua+N;SG
unfussed	unfussed+ADJ
digitlike	digitlike+ADJ
apicoectomized	apicoectomize+V;PST
brachystelechids	brachystelechid+N;PL
mislocalisation	mislocalisation+N;SG
repopularized	repopularize+V;V.PTCP;PST
transnatured	transnature+V;PST
dexes	dex+N;PL
jerk-ass	jerk-ass+N;SG
confounder	confounder+N;SG
pen-picture	pen-picture+N;SG
flaunting	flaunting+N;SG
exosomal	exosomal+ADJ
forpits	forpit+N;PL
day-ager	day-ager+N;SG
œstromania	œstromania+N;SG
invariancies	invariancy+N;PL
isegoria	isegoria+N;SG
rapefic	rapefic+N;SG
xeriphilic	xeriphilic+ADJ
pricelist	pricelist+N;SG
chemick	chemick+N;SG
hyperstabilization	hyperstabilization+N;SG
cookeress	cookeress+N;SG
nonreptile	nonreptile+N;SG
unpulsed	unpulsed+ADJ
biding	biding+N;SG
bespitting	bespit+V;V.PTCP;PRS
sonnetize	sonnetize+V;NFIN;IMP+SBJV
gallized	gallize+V;PST
penmesterol	penmesterol+N;SG
shore	shore+V;NFIN;IMP+SBJV
jogathon	jogathon+N;SG
demobilize	demobilize+V;NFIN;IMP+SBJV
insertables	insertable+N;PL
small-timer	small-timer+N;SG
healthless	healthless+ADJ
teatimes	teatime+N;PL
minuet	minuet+N;SG
reaccustom	reaccustom+V;NFIN;IMP+SBJV
bunny-boiler	bunny-boiler+N;SG
glicke	glicke+N;SG
atelectatrauma	atelectatrauma+N;SG
sectorized	sectorize+V;PST
ministrated	ministrate+V;PST
slickspot	slickspot+N;SG
campodeid	campodeid+N;SG
benzodioxole	benzodioxole+N;SG
pennyland	pennyland+N;SG
háčekless	háčekless+ADJ
subchelate	subchelate+ADJ
intraorgan	intraorgan+ADJ
dunners	dunner+N;PL
sthenia	sthenia+N;SG
mudpack	mudpack+N;SG
aprons	apron+V;PRS;3;SG
isografts	isograft+V;PRS;3;SG
montoirs	montoir+N;PL
plodded	plod+V;PST
subventral	subventral+ADJ
seamanlike	seamanlike+ADJ
gravitaxic	gravitaxic+ADJ
breakpointed	breakpoint+V;PST
semiforced	semiforce+V;V.PTCP;PST
gnarlier	gnarly+ADJ;CMPR
connascent	connascent+ADJ
anthocyanine	anthocyanine+N;SG
chromatophilia	chromatophilia+N;SG
unconvinceable	unconvinceable+ADJ
byform	byform+N;SG
serovaccinations	serovaccination+N;PL
bluitered	bluiter+V;V.PTCP;PST
tecnomorph	tecnomorph+N;SG
deviceful	deviceful+ADJ
callees	callee+N;PL
d'alembertian	d'alembertian+N;SG
outshape	outshape+V;NFIN;IMP+SBJV
wooed	woo+V;V.PTCP;PST
rubbled	rubbled+ADJ
orcein	orcein+N;SG
hoarsest	hoarse+ADJ;SPRL
becatching	becatch+V;V.PTCP;PRS
mesmerisees	mesmerisee+N;PL
uncanniness	uncanniness+N;SG
forwaking	forwake+V;V.PTCP;PRS
threshing-roller	threshing-roller+N;SG
monoantibody	monoantibody+N;SG
depictional	depictional+ADJ
infringe	infringe+V;NFIN;IMP+SBJV
non-empirical	non-empirical+ADJ
astroturfed	astroturf+V;PST
xanthorrhoea	xanthorrhoea+N;SG
unseatbelted	unseatbelted+ADJ
caucasian albanian	caucasian albanian+ADJ
neovascularized	neovascularized+ADJ
off-put	off-put+ADJ
backsplatter	backsplatter+N;SG
cabalzarite	cabalzarite+N;SG
virgo	virgo+N;SG
cumulous	cumulous+ADJ
dargues	dargue+N;PL
int'resting	int'resting+ADJ
q-ship	q-ship+N;SG
rehoned	rehone+V;V.PTCP;PST
melanocytomas	melanocytoma+N;PL
apr	apr+N;SG
tetraplets	tetraplet+N;PL
rnr	rnr+N;SG
preposterated	preposterate+V;V.PTCP;PST
portières	portière+N;PL
ecclesiological	ecclesiological+ADJ
gammy	gammy+ADJ
samydaceous	samydaceous+ADJ
intrapping	intrap+V;V.PTCP;PRS
fried	fried+ADJ
nondiscursive	nondiscursive+ADJ
crescentiform	crescentiform+ADJ
euphists	euphist+N;PL
coraller	coraller+N;SG
rebalancers	rebalancer+N;PL
ethylpyrimidine	ethylpyrimidine+N;SG
conchyliologists	conchyliologist+N;PL
swivelling	swivelling+N;SG
germogens	germogen+N;PL
polynucleotidase	polynucleotidase+N;SG
devall	devall+N;SG
wamble-cropped	wamble-cropped+ADJ
bioscientific	bioscientific+ADJ
wrongings	wronging+N;PL
manhaters	manhater+N;PL
franchising	franchise+V;V.PTCP;PRS
khalifats	khalifat+N;PL
dufferism	dufferism+N;SG
honeystone	honeystone+N;SG
departiculating	departiculate+V;V.PTCP;PRS
impersistence	impersistence+N;SG
boobytrapping	boobytrap+V;V.PTCP;PRS
unbroke	unbreak+V;PST
megacenter	megacenter+N;SG
cal	cal+N;SG
quercetum	quercetum+N;SG
karyoplasm	karyoplasm+N;SG
decrease	decrease+V;NFIN;IMP+SBJV
scrotectomy	scrotectomy+N;SG
crossdated	crossdate+V;V.PTCP;PST
semi liquid	semi liquid+ADJ
euryvalent	euryvalent+ADJ
dreissenids	dreissenid+N;PL
gedging	gedge+V;V.PTCP;PRS
truthless	truthless+ADJ
spinocerebellar	spinocerebellar+ADJ
behaviorist	behaviorist+N;SG
smoulderingness	smoulderingness+N;SG
tonjon	tonjon+N;SG
nonplacebo	nonplacebo+N;SG
dinors	dinor+N;PL
vinew	vinew+N;SG
macrobian	macrobian+ADJ
antiglucocorticoids	antiglucocorticoid+N;PL
troubadour	troubadour+N;SG
atting	at+V;V.PTCP;PRS
communicated	communicate+V;V.PTCP;PST
half-naked	half-naked+ADJ
antheral	antheral+ADJ
metaboreflexes	metaboreflex+N;PL
engmas	engma+N;PL
geomagnetists	geomagnetist+N;PL
siopao	siopao+N;SG
crazy as a soup sandwich	crazy as a soup sandwich+ADJ
architect	architect+N;SG
rhamphorhynchine	rhamphorhynchine+N;SG
mongolepids	mongolepid+N;PL
sacheted	sacheted+ADJ
bland	bland+ADJ
ensearching	ensearch+V;V.PTCP;PRS
euglenas	euglena+N;PL
ownerless	ownerless+ADJ
sunlounger	sunlounger+N;SG
cohousing	cohousing+N;SG
thingummajig	thingummajig+N;SG
antisclerostin	antisclerostin+ADJ
legendry	legendry+ADJ
boycotts	boycott+V;PRS;3;SG
stormglass	stormglass+N;SG
combinatorical	combinatorical+ADJ
windbound	windbound+ADJ
macky	macky+ADJ
victuall	victuall+V;NFIN;IMP+SBJV
neatresses	neatresse+N;PL
hadrosaurian	hadrosaurian+N;SG
larvogenesis	larvogenesis+N;SG
deathgrip	deathgrip+N;SG
iwakiite	iwakiite+N;SG
naboot	naboot+N;SG
mongering	monger+V;V.PTCP;PRS
isoflavonone	isoflavonone+N;SG
heritable	heritable+ADJ
substantivalism	substantivalism+N;SG
vegliote	vegliote+N;SG
iberulite	iberulite+N;SG
acenaphthoquinone	acenaphthoquinone+N;SG
butoxylate	butoxylate+N;SG
bowcatted	bowcat+V;PST
alverine	alverine+N;SG
pronominalizers	pronominalizer+N;PL
chemoablated	chemoablated+ADJ
nematosomes	nematosome+N;PL
zoobotanical	zoobotanical+ADJ
parallelepipedical	parallelepipedical+ADJ
crankarms	crankarm+N;PL
nonodontogenic	nonodontogenic+ADJ
compactability	compactability+N;SG
countersink	countersink+V;NFIN;IMP+SBJV
pertussal	pertussal+ADJ
strikter	strikt+ADJ;CMPR
metribuzin	metribuzin+N;SG
antitraditionalist	antitraditionalist+N;SG
botargo	botargo+N;SG
settlerism	settlerism+N;SG
diffusiophoretic	diffusiophoretic+ADJ
ensonifies	ensonify+V;PRS;3;SG
hexachloroplatinate	hexachloroplatinate+N;SG
hæmatoporphyrin	hæmatoporphyrin+N;SG
tumbles	tumble+V;PRS;3;SG
multisync	multisync+ADJ
lysimetric	lysimetric+ADJ
chronogrammatists	chronogrammatist+N;PL
lumbricid	lumbricid+N;SG
tind	tind+V;NFIN;IMP+SBJV
handwritten	handwritten+ADJ
out-friend	out-friend+V;NFIN;IMP+SBJV
paraboloids	paraboloid+N;PL
countable	headspace+N;PL
esquired	esquire+V;V.PTCP;PST
connexed	connex+V;V.PTCP;PST
sorest	sore+ADJ;SPRL
elegiacs	elegiac+N;PL
spagyric	spagyric+N;SG
shallow	shallow+V;NFIN;IMP+SBJV
exequy	exequy+N;SG
lactims	lactim+N;PL
sebs	sebs+N;SG
postdermabrasion	postdermabrasion+ADJ
pentalysine	pentalysine+N;SG
undrank	undrink+V;PST
hutched	hutched+ADJ
jailoress	jailoress+N;SG
anti-suffragism	anti-suffragism+N;SG
hydrophile	hydrophile+ADJ
uroprotective	uroprotective+ADJ
sittella	sittella+N;SG
coquetting	coquette+V;V.PTCP;PRS
forcepslike	forcepslike+ADJ
polars	polar+N;PL
compt	compt+N;SG
off-license	off-license+N;SG
weredwarf	weredwarf+N;SG
wantrust	wantrust+N;SG
litmag	litmag+N;SG
halvation	halvation+N;SG
thrilled	thrilled+ADJ
quarrymaster	quarrymaster+N;SG
scaler	scaler+N;SG
reinstate	reinstate+V;NFIN;IMP+SBJV
lorilabials	lorilabial+N;PL
renvoyed	renvoy+V;V.PTCP;PST
shadowbans	shadowban+V;PRS;3;SG
pseudoliterary	pseudoliterary+ADJ
somascan	somascan+N;SG
bitterroot	bitterroot+N;SG
commonhold	commonhold+N;SG
carcinogenic	carcinogenic+ADJ
lipohyperplasia	lipohyperplasia+N;SG
mcgriddle	mcgriddle+N;SG
sulfaclozine	sulfaclozine+N;SG
keratocele	keratocele+N;SG
hyperiidean	hyperiidean+N;SG
thiohemiaminals	thiohemiaminal+N;PL
dholak	dholak+N;SG
gliss	gliss+V;NFIN;IMP+SBJV
allylbenzenes	allylbenzene+N;PL
enforcers	enforcer+N;PL
blazered	blazered+ADJ
radioassayed	radioassay+V;PST
adorated	adorate+V;PST
probal	probal+ADJ
cellulose	cellulose+N;SG
autolyzing	autolyze+V;V.PTCP;PRS
recessional	recessional+ADJ
mud-dwelling	mud-dwelling+ADJ
bekahs	bekah+N;PL
clubful	clubful+N;SG
agony-pipe	agony-pipe+N;SG
coscorobas	coscoroba+N;PL
constables	constable+V;PRS;3;SG
castellans	castellan+N;PL
stave-rhyme	stave-rhyme+N;SG
characids	characid+N;PL
roguish	roguish+ADJ
shoeprint	shoeprint+N;SG
dents	dent+N;PL
dæmonomancy	dæmonomancy+N;SG
superexploitation	superexploitation+N;SG
paragravity	paragravity+N;SG
caregiver	caregiver+N;SG
isises	isis+N;PL
shack	shack+V;NFIN;IMP+SBJV
interbyte	interbyte+ADJ
reconvert	reconvert+N;SG
grobanite	grobanite+N;SG
biophotometry	biophotometry+N;SG
multitasking	multitask+V;V.PTCP;PRS
stumptailed	stumptailed+ADJ
weddah	weddah+N;SG
bigamists	bigamist+N;PL
güntherian	güntherian+ADJ
assieges	assiege+V;PRS;3;SG
polytypism	polytypism+N;SG
sulphating	sulphate+V;V.PTCP;PRS
bandless	bandless+ADJ
dodo	dodo+N;SG
caudatan	caudatan+ADJ
aldosteronism	aldosteronism+N;SG
antiphonary	antiphonary+N;SG
acentrous	acentrous+ADJ
vermiceous	vermiceous+ADJ
hausses	hausse+N;PL
lasiocampid	lasiocampid+N;SG
carlactone	carlactone+N;SG
weye	weye+N;SG
hypoautofluorescence	hypoautofluorescence+N;SG
uncramp	uncramp+V;NFIN;IMP+SBJV
desemantisation	desemantisation+N;SG
gleamer	gleamer+N;SG
intracranial	intracranial+ADJ
endoventricular	endoventricular+ADJ
karbovanets	karbovanets+N;SG
eschewable	eschewable+ADJ
mistrows	mistrow+N;PL
topoisomerizations	topoisomerization+N;PL
quadrella	quadrella+N;SG
routle	routle+V;NFIN;IMP+SBJV
facetime	facetime+V;NFIN;IMP+SBJV
alula	alula+N;SG
autohybridize	autohybridize+V;NFIN;IMP+SBJV
automultiscopic	automultiscopic+ADJ
pirisudanol	pirisudanol+N;SG
empty	empty+ADJ
handaxes	handax+N;PL
galtonia	galtonia+N;SG
ethician	ethician+N;SG
yeastful	yeastful+ADJ
devulgarize	devulgarize+V;NFIN;IMP+SBJV
demurral	demurral+N;SG
kooka	kooka+N;SG
deep-fat-fry	deep-fat-fry+V;NFIN;IMP+SBJV
parallelepiped	parallelepiped+N;SG
sick as a dog	sick as a dog+ADJ
hirudinized	hirudinized+ADJ
centrosphere	centrosphere+N;SG
kitskonstabel	kitskonstabel+N;SG
joe-the-goose	joe-the-goose+ADJ
nonsterile	nonsterile+ADJ
supersonications	supersonication+N;PL
disported	disport+V;PST
diaminopyridine	diaminopyridine+N;SG
austin	austin+ADJ
septate	septate+ADJ
impinger	impinger+N;SG
electromechanical	electromechanical+ADJ
eagle	eagle+V;NFIN;IMP+SBJV
skeleton	skeleton+V;NFIN;IMP+SBJV
confessionalized	confessionalize+V;PST
famble	famble+V;NFIN;IMP+SBJV
med	med+N;SG
microstructure	microstructure+N;SG
verbarians	verbarian+N;PL
kinetal	kinetal+ADJ
tostication	tostication+N;SG
paltrier	paltry+ADJ;CMPR
bowning	bowne+V;V.PTCP;PRS
preordain	preordain+V;NFIN;IMP+SBJV
microcyclicity	microcyclicity+N;SG
bariopyrochlore	bariopyrochlore+N;SG
creativises	creativise+V;PRS;3;SG
univocals	univocal+N;PL
gastrolaters	gastrolater+N;PL
mis	mis+N;SG
fooking	fooking+ADJ
govvies	govvy+N;PL
semicreative	semicreative+ADJ
greenwashing	greenwash+V;V.PTCP;PRS
deuteranomaly	deuteranomaly+N;SG
kieftite	kieftite+N;SG
eurylaimids	eurylaimid+N;PL
sunbathe	sunbathe+N;SG
haloxazolam	haloxazolam+N;SG
befilm	befilm+V;NFIN;IMP+SBJV
severance	severance+N;SG
faroese	faroese+N;SG
hyperliteracy	hyperliteracy+N;SG
trainee	trainee+N;SG
moribund	moribund+ADJ
epithelializes	epithelialize+V;PRS;3;SG
diaminoanthraquinone	diaminoanthraquinone+N;SG
excuser	excuser+N;SG
countable	bromance+N;PL
debiases	debias+V;PRS;3;SG
forecreated	forecreated+ADJ
destreza	destreza+N;SG
tylenchid	tylenchid+N;SG
inkbottles	inkbottle+N;PL
toundra	toundra+N;SG
isthmectomy	isthmectomy+N;SG
closehanded	closehanded+ADJ
demigration	demigration+N;SG
intricated	intricate+V;PST
paludian	paludian+N;SG
mesobilirubin	mesobilirubin+N;SG
guaguanco	guaguanco+N;SG
allomerisation	allomerisation+N;SG
outdreaming	outdream+V;V.PTCP;PRS
templon	templon+N;SG
unabbreviable	unabbreviable+ADJ
wreaking	wreak+V;V.PTCP;PRS
peecee	peecee+N;SG
receptacle	receptacle+N;SG
manganocene	manganocene+N;SG
palmin	palmin+N;SG
ventilators	ventilator+N;PL
mesopterygium	mesopterygium+N;SG
loggats	loggat+N;PL
renaturating	renaturate+V;V.PTCP;PRS
girlified	girlify+V;V.PTCP;PST
barochamber	barochamber+N;SG
bardesanist	bardesanist+ADJ
nanoelectroablate	nanoelectroablate+V;NFIN;IMP+SBJV
otjize	otjize+N;SG
nonbilharzial	nonbilharzial+ADJ
ichnofacies	ichnofacies+N;SG
infotisements	infotisement+N;PL
paws	paw+V;PRS;3;SG
ticpolongas	ticpolonga+N;PL
inviles	invile+V;PRS;3;SG
coalign	coalign+V;NFIN;IMP+SBJV
mamillothalamic	mamillothalamic+ADJ
mongolize	mongolize+V;NFIN;IMP+SBJV
calcsilicates	calcsilicate+N;PL
mujerados	mujerado+N;PL
quoggy	quoggy+ADJ
epithelioma	epithelioma+N;SG
adenomyomatous	adenomyomatous+ADJ
treadplates	treadplate+N;PL
protumourigenic	protumourigenic+ADJ
biodynamic	biodynamic+ADJ
bowery	bowery+ADJ
polenta	polenta+N;SG
cyclopropaphane	cyclopropaphane+N;SG
homocapsaicin	homocapsaicin+N;SG
ex-stepmother	ex-stepmother+N;SG
bioptome	bioptome+N;SG
shinkin-ap-morgan	shinkin-ap-morgan+N;SG
acrodermatitis	acrodermatitis+N;SG
ziphosuchian	ziphosuchian+N;SG
amscray	amscray+V;NFIN;IMP+SBJV
calopterid	calopterid+N;SG
unmocking	unmocking+ADJ
tassie	tassie+N;SG
rewirer	rewirer+N;SG
alabamine	alabamine+N;SG
tellurane	tellurane+N;SG
confined	confine+V;V.PTCP;PST
degasified	degasify+V;PST
calocin	calocin+N;SG
fizziest	fizzy+ADJ;SPRL
zapotec	zapotec+N;SG
arnotta	arnotta+N;SG
abled	abled+ADJ
antismallpox	antismallpox+ADJ
sparkie	sparkie+N;SG
supputated	supputate+V;PST
fortalice	fortalice+N;SG
cannabinoid	cannabinoid+N;SG
subdividing	subdivide+V;V.PTCP;PRS
velcomes	velcome+V;PRS;3;SG
marres	marre+V;PRS;3;SG
semisaturated	semisaturated+ADJ
pseudoteguminal	pseudoteguminal+ADJ
hatefest	hatefest+N;SG
cleanest	clean+ADJ;SPRL
burgle	burgle+V;NFIN;IMP+SBJV
pettifoggeries	pettifoggery+N;PL
multiloaded	multiload+V;PST
greenshoe	greenshoe+N;SG
mopes	mope+V;PRS;3;SG
heteroromanticism	heteroromanticism+N;SG
sennets	sennet+N;PL
outshrill	outshrill+V;NFIN;IMP+SBJV
osmodiuretic	osmodiuretic+N;SG
rationals	rational+N;PL
methoxydine	methoxydine+N;SG
oversowed	oversow+V;PST
hysteroscopy	hysteroscopy+N;SG
sulfonating	sulfonate+V;V.PTCP;PRS
offstand	offstand+V;NFIN;IMP+SBJV
contemplationism	contemplationism+N;SG
serviceman	serviceman+N;SG
mandyas	mandyas+N;SG
speerit	speerit+N;SG
enone	enone+N;SG
canopying	canopying+N;SG
consolization	consolization+N;SG
candlewick	candlewick+N;SG
plasmapheresed	plasmapheresed+ADJ
dimmings	dimming+N;PL
ext	ext+N;SG
aborisha	aborisha+N;SG
mantum	mantum+N;SG
hydrogamous	hydrogamous+ADJ
dansylglycine	dansylglycine+N;SG
nonenforced	nonenforced+ADJ
foutra	foutra+N;SG
cyclonaphthylenes	cyclonaphthylene+N;PL
corneometer	corneometer+N;SG
ethacrynate	ethacrynate+N;SG
nawaubs	nawaub+N;PL
polypterid	polypterid+N;SG
aleukaemia	aleukaemia+N;SG
subsects	subsect+N;PL
schpritz	schpritz+N;SG
saggars	saggar+V;PRS;3;SG
nidified	nidify+V;PST
nonpoker	nonpoker+ADJ
countable	stress+N;PL
jacked up	jacked up+ADJ
kick-board	kick-board+N;SG
lacrymose	lacrymose+ADJ
millennial	millennial+ADJ
coxosternites	coxosternite+N;PL
plasmolysed	plasmolyse+V;PST
phosphomannans	phosphomannan+N;PL
pachuco	pachuco+N;SG
e-transaction	e-transaction+N;SG
stepper	stepper+N;SG
isohyetal	isohyetal+ADJ
securitising	securitise+V;V.PTCP;PRS
beachgoing	beachgoing+N;SG
oughtism	oughtism+N;SG
ochorinas	ochorina+N;PL
roister	roister+N;SG
fountful	fountful+ADJ
coion	coion+N;SG
unsubmitted	unsubmitted+ADJ
zoönite	zoönite+N;SG
turnippy	turnippy+ADJ
cashmered	cashmered+ADJ
megaphonists	megaphonist+N;PL
presoftened	presoftened+ADJ
reägent	reägent+N;SG
drudgy	drudgy+N;SG
repton	repton+N;SG
uncountable	tarnish+N;PL
octopodean	octopodean+ADJ
oreoline	oreoline+N;SG
superhumanising	superhumanise+V;V.PTCP;PRS
hydrosoma	hydrosoma+N;SG
throw-in	throw-in+N;SG
interlaps	interlap+V;PRS;3;SG
skycloths	skycloth+N;PL
thaumarchaeal	thaumarchaeal+ADJ
opponed	oppone+V;V.PTCP;PST
libral	libral+ADJ
ebonised	ebonise+V;PST
ataraxia	ataraxia+N;SG
managed	manage+V;PST
mephentermine	mephentermine+N;SG
riths	rith+N;PL
supercaffeine	supercaffeine+N;SG
cryptoexotics	cryptoexotic+N;PL
studmark	studmark+N;SG
middies	middy+N;PL
trebouxiophyceans	trebouxiophycean+N;PL
mutarotating	mutarotating+ADJ
budged	budge+V;PST
servite	servite+N;SG
farmability	farmability+N;SG
wracking	wrack+V;V.PTCP;PRS
axiomizations	axiomization+N;PL
